initial_token,token_with_border
иголок,иголо|к
шубнин,шуб|нин
данник,дан|ник
писков,пис|ков
верфны,верфн|ы
эллаза,эллаз|а
лункой,лун|кой
кусин,кус|ин
блесна,бле|сна
досуг,дос|уг
чуни,чуни
катрей,кат|рей
атоте,атот|е
мякший,мякши|й
чехлён,чехлё|н
жёлчна,жёлчн|а
севары,севар|ы
яанне,яанн|е
пзша,пзш|а
ашогам,ашога|м
ружину,ружин|у
рубищу,руб|ищу
адажио,адажи|о
муамар,муама|р
кушак,куш|ак
айзане,айз|ане
клюзах,клюза|х
зосями,зося|ми
смоюсь,смоюс|ь
дарью,дар|ью
эммой,эммо|й
опалок,опа|лок
аукнет,аукне|т
крицею,крице|ю
цыль,цыл|ь
дэннис,дэннис
юлдуса,юлдус|а
ибисом,ибисо|м
хмырём,хмырё|м
негожи,негож|и
паря,пар|я
кицу,кицу
трудов,тру|дов
маарду,маард|у
склюёт,склюё|т
наиля,наи|ля
торить,тор|ить
анжела,анж|ела
опорки,опорк|и
пивших,пивш|их
жулили,жулил|и
сдохну,сдохн|у
паную,пан|ую
дутару,дутар|у
рафиль,раф|иль
наис,наи|с
айпин,айпи|н
кадями,кадям|и
геллою,гелло|ю
каром,кар|ом
кокнет,кокне|т
хатах,хат|ах
забрёл,заб|рёл
бурнус,бур|нус
елиз,ели|з
аилиях,аилия|х
унарна,унарн|а
ветшай,вет|шай
врубив,вруби|в
поимею,пои|мею
куримо,курим|о
слывёт,слывё|т
нэкам,нэка|м
райна,рай|на
азодам,азода|м
отекай,отека|й
искине,иск|ине
почёту,поч|ёту
спящее,спяще|е
тиндал,тин|дал
суда,суд|а
риим,риим
криков,крико|в
иканье,икан|ье
рейню,рей|ню
гайка,гай|ка
сгубим,сгуби|м
рыжуха,рыжух|а
ягодка,ягодк|а
узлами,узла|ми
гукове,гук|ове
яблоне,ябл|оне
резьбы,рез|ьбы
сливая,слива|я
дзидры,дзидр|ы
рано,ран|о
жемила,жемил|а
кончин,кон|чин
хавсею,хавсе|ю
едящая,едя|щая
платой,пла|той
заирцу,заирц|у
уэйке,уэйк|е
жэком,жэк|ом
даням,даня|м
сажном,сажно|м
объели,объел|и
учёною,учёно|ю
аила,аила
яроны,ярон|ы
опар,опа|р
болван,бол|ван
ноях,ноя|х
обожми,обо|жми
батана,бат|ана
дувшие,дувш|ие
асену,асе|ну
вклеек,вклее|к
вовсю,вов|сю
хмурен,хму|рен
бегали,бегал|и
алаиз,ала|из
арзеву,арзев|у
кутилу,кут|илу
айдов,айд|ов
заведя,зав|едя
уложи,уло|жи
аладар,алада|р
рияну,риян|у
риина,риин|а
фаязы,фаяз|ы
прибыв,при|быв
нажив,наж|ив
вяльте,вяльт|е
отбыл,отб|ыл
руин,руи|н
кладёт,кла|дёт
лечите,лечит|е
илюхин,илюхи|н
бочкой,боч|кой
бяками,бякам|и
пазы,паз|ы
сломи,сло|ми
лютыми,лютым|и
вхожею,вхоже|ю
околия,око|лия
виктру,виктр|у
лубом,луб|ом
срыву,сры|ву
аманах,ама|нах
фьорда,фьорд|а
клипах,клипа|х
цибету,цибету
бизани,биз|ани
риска,рис|ка
арояны,ароян|ы
этвеше,этвеш|е
агир,аги|р
гуриям,гурия|м
хозяв,хоз|яв
иудино,иуд|ино
арборе,арб|оре
геттой,гетто|й
неводя,нев|одя
цоях,цоя|х
бодро,бод|ро
таился,таилс|я
белзов,белзо|в
диез,дие|з
якубы,якуб|ы
пилку,пилк|у
накина,нак|ина
-ухи,-ух|и
china,china
тары,тар|ы
уженью,ужень|ю
поучат,поу|чат
асада,аса|да
фираях,фирая|х
кручах,круча|х
афимий,афими|й
драме,дра|ме
мурзах,мурза|х
шайбам,шайба|м
сашам,саша|м
нижние,ниж|ние
плече,пле|че
осивев,осиве|в
погнул,пог|нул
окоряя,окоря|я
мажору,маж|ору
клайду,клайд|у
лютые,люты|е
мирьем,мирье|м
дорвёт,дорвё|т
шлейке,шлейк|е
армина,арм|ина
шторах,штора|х
бугски,бугск|и
детве,дет|ве
шамилы,шам|илы
невис,нев|ис
устою,уст|ою
бридже,бри|дже
агнию,агн|ию
гришов,гри|шов
стежка,сте|жка
илиму,или|му
должку,должк|у
нейдут,нейду|т
агзане,агзан|е
психеи,пси|хеи
омелою,оме|лою
троимы,тро|имы
пьянил,пья|нил
яирам,яира|м
сетные,сетны|е
баляс,бал|яс
эфедры,эфе|дры
джории,джори|и
ловы,лов|ы
сипя,сип|я
сбросы,сбр|осы
ходсон,ходсо|н
флажок,фла|жок
ашика,ашик|а
кровы,кро|вы
омалии,омали|и
гаяз,гая|з
флэшах,флэша|х
талам,тал|ам
упадку,упадк|у
волхву,вол|хву
джиной,джино|й
пиевны,пиев|ны
сизаль,сиз|аль
льгове,льг|ове
роевен,роеве|н
вихрю,вих|рю
петаз,пет|аз
хамсу,хам|су
аурою,аур|ою
тошно,тош|но
ценную,ценну|ю
сдпк,сдп|к
виллей,вил|лей
немято,немят|о
